	chao1	shannon	observed_otus
4.10.M01.S1400.743569	830.178571429	6.10056585297	546.0
4.18.M01.S1430.743613	707.828125	5.24748363893	439.0
3.15.M01.S1017.743571	881.561797753	6.1873594919	562.0
3.27.F01.S730.742966	777.278688525	5.37082200346	464.0
2.16.M01.S2.743486	948.494623656	6.43261280289	603.0
2.22.M02.SA.742616	931.75257732	6.39143548871	616.0
2.27.M01.S700.742981	809.6	5.84735570103	500.0
3.30.M01.S1930.742522	857.2	6.04854948116	536.0
2.22.M02.SB.743570	892.95	6.4664422303	618.0
3.30.M01.S2350.742480	888.5	5.79077432364	539.0
2.09.M01.S2.742441	811.515151515	6.09436653011	510.0
2.26.M01.S2240.742255	853.513513514	5.87464173047	516.0
2.21.M01.S3.743631	878.661290323	5.18946953879	483.0
2.17.M01.S1.743380	964.666666667	6.47923562366	602.0
2.16.M01.S4.743131	943.0	6.39227749754	577.0
3.30.M03.S..742261	895.5	5.86702257559	564.0
2.25.M01.S1446.743562	798.042253521	5.90381288775	486.0
4.12.M01.S1230.742338	876.555555556	5.87928897223	540.0
3.14.F01.S800.742821	832.164179104	5.56963508207	492.0
4.10.M01.S1100.742987	883.037974684	5.61868672853	535.0
2.09.M01.S1.742412	917.28	6.30514658991	611.0
2.01.F01.S2145.742633	677.714285714	5.13153163624	388.0
2.23.M01.S5..743419	830.01369863	5.78924979539	506.0
2.03.M01.S2.b.743524	875.096385542	6.00372785312	541.0
4.11.M01.S650.743375	795.575	6.05022366989	516.0
2.19.F01.S1737.743643	943.940298507	5.82342585834	544.0
2.20.M01.S2.743183	912.259259259	6.16181997895	567.0
4.11.M03.M.743535	364.034482759	4.24385101568	238.0
3.30.M03.M.742599	399.028571429	4.95194996381	266.0
4.27.M03.M.742374	344.0	4.81553927796	274.0
4.28.M03.M.743139	377.317073171	4.96914975293	259.0
1.29.M03.M.742222	395.444444444	4.59578993116	237.0
